"gene_id","rofA_1","rofA_2","rofA_3","ssRA_1","ssRA_2","ssRA_3","WT_1","WT_2","WT_3"
"H7X56_00005",9366,7035,9300,9045,7515,8606,9076,9786,7856
"H7X56_00010",11593,9623,11016,11814,9914,10940,11923,14768,10151
"H7X56_00015",472,231,462,426,392,548,406,484,523
"H7X56_00020",12470,10487,14488,11026,12113,13708,13255,13124,13002
"H7X56_00025",1652,1138,1634,1560,1171,1530,999,1740,1544
"H7X56_00030",14188,10818,14662,12667,12013,13699,9781,13457,12112
"H7X56_00035",1699,1275,1667,1425,1467,1633,1376,1618,1626
"H7X56_00040",2637,1899,2972,2688,2177,2893,2209,2983,2545
"H7X56_00045",9102,6707,9817,8029,7332,9525,7406,9090,8570
"H7X56_00050",6360,4444,7527,6294,5627,7605,5066,6183,6629
"H7X56_00055",10062,7986,10915,11099,7936,11535,8248,10011,10090
"H7X56_00060",79690,69450,77945,73201,71811,77846,78199,92406,69407
"H7X56_00065",7299,5459,7524,6961,6631,6846,8307,7237,6761
"H7X56_00070",280,334,250,223,226,146,627,461,281
"H7X56_00075",645,412,991,549,352,995,515,464,764
"H7X56_00080",2056,1623,1707,1505,1792,1645,2977,2272,1671
"H7X56_00085",6,14,25,7,14,23,6,15,21
"H7X56_00090",435,356,879,374,337,891,498,476,764
"H7X56_00095",738,472,1700,680,432,1626,638,565,1314
"H7X56_00100",3807,2926,7945,4218,2897,7717,4489,4298,8519
"H7X56_00105",952,590,1597,617,547,1792,897,783,1409
"H7X56_00110",411,280,819,319,231,912,389,327,797
"H7X56_00115",160,158,459,201,160,563,197,228,476
"H7X56_00120",648,551,1391,503,498,1539,697,581,1171
"H7X56_00125",434,309,784,321,191,786,386,278,601
"H7X56_00130",1196,1076,1999,1135,572,1976,1330,1342,1908
"H7X56_00135",253,323,210,223,226,135,578,477,338
"H7X56_00140",673,438,957,579,348,1087,488,523,734
"H7X56_00145",2119,1542,1808,1529,1869,1681,2889,2258,1677
"H7X56_00150",11,14,34,7,3,10,10,15,22
"H7X56_00155",411,333,902,408,307,846,475,498,771
"H7X56_00160",691,496,1623,718,455,1658,684,572,1447
"H7X56_00165",3823,3021,7838,4220,2975,7773,4527,4424,8632
"H7X56_00170",905,630,1651,621,572,1901,856,740,1416
"H7X56_00175",423,280,849,339,253,945,379,321,797
"H7X56_00180",158,150,489,195,159,516,175,247,453
"H7X56_00185",632,564,1432,485,480,1591,696,608,1160
"H7X56_00190",386,243,701,287,183,739,371,196,632
"H7X56_00195",403,344,947,403,275,945,542,365,691
"H7X56_00200",1358,1236,2876,1385,1142,2938,2106,1335,2405
"H7X56_00205",2164,1959,3837,2094,1579,3626,3347,2298,3284
"H7X56_00210",530,606,1350,691,479,1144,1043,696,1118
"H7X56_00215",551,474,1202,471,391,1191,591,439,1101
"H7X56_00220",288,201,626,239,210,595,394,336,445
"H7X56_00225",166,155,382,145,156,439,233,107,250
"H7X56_00230",482,287,670,454,219,644,696,566,752
"H7X56_00235",529,344,654,594,297,640,615,573,1002
"H7X56_00240",6,14,0,12,25,11,20,29,8
"H7X56_00245",78188,67256,75788,67708,82317,61741,105791,85954,69954
"H7X56_00250",35308,29349,37595,32223,35670,36482,35642,38105,33317
"H7X56_00255",1471,984,1556,1236,1028,1367,1270,1381,1364
"H7X56_00260",6138,4841,6106,5820,4692,5667,5155,7265,5567
"H7X56_00265",726,847,695,877,719,799,644,1124,628
"H7X56_00270",1055,355,557,909,404,634,756,440,594
"H7X56_00275",10994,4714,5922,8754,6211,5891,10200,5614,5032
"H7X56_00280",4895,2475,2764,4554,2647,2676,5006,3146,2619
"H7X56_00285",3455,1838,1604,2821,1831,1609,3073,2046,1517
"H7X56_00290",2137,805,1028,1673,1295,1085,1983,1182,1105
"H7X56_00295",7182,3577,3916,5818,3870,3465,5970,4348,2917
"H7X56_00300",147,165,121,155,157,169,111,169,115
"H7X56_00305",6878,2837,2987,5772,3255,3056,5509,3332,2724
"H7X56_00310",2905,1188,1351,2450,1505,1270,2212,1700,945
"H7X56_00315",7032,2976,3153,5523,3579,2963,4782,3843,2419
"H7X56_00320",9207,6215,7035,9558,6814,6576,9223,8679,6425
"H7X56_00325",14984,10966,12979,12677,12236,12102,15490,13213,10329
"H7X56_00330",1303,369,426,1223,362,395,524,601,264
"H7X56_00335",20302,14389,20376,20562,14749,20006,19150,19533,17039
"H7X56_00340",5632,4176,5226,5560,4376,5118,4654,5355,4523
"H7X56_00345",5141,3907,4252,4893,3846,4407,4732,5820,3792
"H7X56_00350",28141,20890,24044,24964,22512,23581,23645,28176,20716
"H7X56_00355",12644,13079,5611,12749,16385,6024,17547,15965,5851
"H7X56_00360",2146,2028,1040,1778,2263,1056,2749,2863,1193
"H7X56_00365",2884,2139,2913,2956,2512,2233,2910,2927,2643
"H7X56_00370",50171,41312,64663,38054,49352,53397,79589,45759,61680
"H7X56_00375",108007,101984,135068,89589,119461,107169,203123,124757,126641
"H7X56_00380",92626,87581,104095,70103,107344,86915,179262,99544,99082
"H7X56_00385",58809,58169,66945,50310,67800,55689,119014,76664,64864
"H7X56_00390",163189,149644,177926,120180,180926,146583,326620,183352,167375
"H7X56_00395",55152,53528,62920,44343,60355,50054,112511,67905,55312
"H7X56_00400",71604,67155,76015,56765,78212,63233,142619,85698,72209
"H7X56_00405",123580,126545,136325,100309,142340,110918,256152,154991,132884
"H7X56_00410",84855,83422,92476,64425,94686,73178,173932,96737,85686
"H7X56_00415",39794,38116,46003,31862,46412,36868,85508,50286,42156
"H7X56_00420",63778,63006,70168,50953,67451,53604,133503,83388,65492
"H7X56_00425",75444,70423,82324,59747,86387,69711,157662,90027,73496
"H7X56_00430",74331,74854,84135,61627,80896,65153,157343,98423,75192
"H7X56_00435",130107,127025,141882,100469,149326,115732,274103,142476,130592
"H7X56_00440",22564,20890,23169,16118,23230,19023,44254,27182,21597
"H7X56_00445",69673,65786,73425,55909,77291,63531,143988,85331,66887
"H7X56_00450",109081,105284,115929,91289,120824,96686,222903,142308,108682
"H7X56_00455",73225,68245,75808,55652,80304,63535,147183,85054,68923
"H7X56_00460",88851,78586,90671,61394,99646,78050,171376,88060,82996
"H7X56_00465",36118,34332,38104,28599,40777,32211,73604,45567,36835
"H7X56_00470",88031,89851,97574,77047,97177,80555,174840,114269,89729
"H7X56_00475",210632,197007,228071,170601,227860,193878,397602,252990,209904
"H7X56_00480",13363,12365,18313,11336,14693,15446,28012,16598,17360
"H7X56_00485",39599,33648,38307,30575,43995,37834,60706,44594,36662
"H7X56_00490",25444,25610,26139,23558,28545,23493,45166,40548,26918
"H7X56_00495",64064,60352,67838,55652,69785,57559,108082,74765,65557
"H7X56_00500",93660,87941,102475,74072,108703,89871,157069,103944,89553
"H7X56_00505",214540,210555,237154,185297,252104,200950,374682,287913,215156
"H7X56_00510",86303,78924,90782,65224,93779,76160,143635,93956,80262
"H7X56_00515",258,371,254,236,253,157,631,523,319
"H7X56_00520",586,435,955,545,355,1007,463,495,706
"H7X56_00525",2122,1581,1758,1455,1785,1625,2868,2228,1638
"H7X56_00530",5,14,25,8,6,18,7,12,14
"H7X56_00535",178,155,346,130,136,312,302,97,337
"H7X56_00540",367,225,855,295,237,903,369,296,680
"H7X56_00545",727,441,2117,916,327,2132,763,1137,1933
"H7X56_00550",382,276,975,393,237,1235,447,471,896
"H7X56_00555",543,607,1700,825,447,1753,689,910,1365
"H7X56_00560",435,447,1213,485,380,1214,565,586,1107
"H7X56_00565",229,144,496,199,138,519,218,276,554
"H7X56_00570",254,236,916,279,278,849,342,351,713
"H7X56_00575",608,518,1468,597,415,1597,825,891,1586
"H7X56_00580",415,498,840,477,385,1095,672,478,1052
"H7X56_00585",574,709,1233,541,652,1172,1013,743,1053
"H7X56_00590",67,48,186,101,86,245,154,62,125
"H7X56_00600",4710,4198,5078,3973,4161,4472,5342,5519,4555
"H7X56_00605",7419,6135,7547,5630,6765,7094,8334,7863,6900
"H7X56_00610",8243,6828,8337,6531,8091,7938,8873,8345,7649
"H7X56_00615",212,221,361,296,258,378,242,431,331
"H7X56_00620",10763,10265,12079,9144,10512,10453,13303,12913,11107
"H7X56_00625",32477,27325,31457,29299,29326,28008,33699,36695,26907
"H7X56_00630",154754,132814,147514,121577,157926,133873,187626,160339,130746
"H7X56_00635",218732,186620,201234,166965,222112,185860,262636,228504,178793
"H7X56_00640",2736,2101,3587,2637,2513,3830,3169,2556,3036
"H7X56_00645",139,180,170,123,119,161,84,134,146
"H7X56_00650",99,94,168,145,105,155,140,159,77
"H7X56_00655",35,31,62,29,46,47,50,55,10
"H7X56_00660",71,19,73,71,57,66,50,90,102
"H7X56_00665",29,26,23,47,25,30,46,89,29
"H7X56_00670",52,22,60,34,16,9,17,25,54
"H7X56_00675",22,35,40,15,54,50,45,24,30
"H7X56_00680",13021,9627,14932,11936,10893,13971,12430,13743,12838
"H7X56_00685",23472,19941,24562,17826,23617,24340,24058,23593,21802
"H7X56_00690",225,237,256,201,233,228,252,160,295
"H7X56_00695",7732,6082,6566,6915,6334,5938,7396,8955,5628
"H7X56_00700",12798,9067,10315,10968,10355,9817,10688,12853,8966
"H7X56_00705",881,704,1146,717,627,748,914,1157,723
"H7X56_00710",1210,910,1181,1129,941,1171,1363,1707,1154
"H7X56_00715",4763,4369,4725,4215,4678,4763,5265,5776,4281
"H7X56_00720",135,81,118,119,65,96,100,88,94
"H7X56_00725",7483,6139,6892,6031,6136,6019,7342,8804,5768
"H7X56_00730",17294,14713,15848,15258,16041,15083,18551,20457,14689
"H7X56_00735",10658,8896,10833,8939,9878,10009,11531,11021,9869
"H7X56_00740",55356,43415,54077,48168,49384,48289,62409,67991,48071
"H7X56_00745",84069,72729,105800,71113,85102,83578,135444,96857,96255
"H7X56_00750",17231,14646,20629,14020,16651,16628,27897,19908,18938
"H7X56_00755",31300,27564,38098,24430,33991,32110,55161,33066,34082
"H7X56_00760",26332,23462,32466,22960,28330,26932,47840,34943,30497
"H7X56_00765",16703,14293,20711,12854,19145,17060,29465,18566,18845
"H7X56_00770",1829,1029,970,1494,1031,866,1230,1456,999
"H7X56_00775",208,188,131,188,168,120,107,172,77
"H7X56_00780",1521,359,219,1108,515,160,299,410,114
"H7X56_00790",1602,315,202,1745,537,257,368,545,260
"H7X56_00795",58,13,25,54,29,9,43,32,19
"H7X56_00805",94,38,39,63,42,49,12,108,7
"H7X56_00810",64,33,14,49,20,17,18,85,33
"H7X56_00815",13,57,16,39,57,11,45,49,20
"H7X56_00820",1522,1302,1598,1674,1300,1038,1486,1810,1441
"H7X56_00825",2240,1965,2984,2084,2015,2944,1638,2394,2460
"H7X56_00830",7278,5964,9506,6494,6494,9213,5160,6971,7860
"H7X56_00835",126,44,134,124,179,61,166,151,77
"H7X56_00840",493,358,543,539,656,491,583,561,669
"H7X56_00845",167,99,220,115,117,85,225,69,173
"H7X56_00850",276,199,266,154,144,236,237,156,266
"H7X56_00855",261,336,441,352,269,367,448,429,407
"H7X56_00860",145,213,183,155,132,213,304,158,163
"H7X56_00865",851,696,1103,746,786,800,1214,806,959
"H7X56_00870",789,1046,1179,812,883,776,1449,725,1036
"H7X56_00875",304,282,388,258,331,283,430,367,436
"H7X56_00880",5087,4698,4063,4956,4117,3992,5188,7340,3952
"H7X56_00885",2462,2090,2012,2413,2261,2095,2470,3301,1789
"H7X56_00890",25415,25048,26985,19438,26117,21944,35183,31452,23516
"H7X56_00895",28136,25415,29631,24046,26932,26716,33019,35443,26515
"H7X56_00900",5000,3807,5109,4490,3776,4311,4415,5281,4494
"H7X56_00905",3096,1393,2078,2830,1338,2918,1463,1866,2073
"H7X56_00910",954,473,870,1165,539,1207,691,930,905
