"gene_id","Untreated_Rep1","Nov_Rep1","Zn_Rep1","Zn_Nov_Rep1","Untreated_Rep2","Nov_Rep2","Zn_Rep2","Zn_Nov_Rep2"
"spr0001",11149,14337,12100,12172,13442,11703,10330,10646
"spr0002",9858,11842,11237,11598,11443,11112,9451,11438
"spr0003",673,615,655,641,671,542,548,587
"spr0004",8202,8317,8592,10127,9677,9766,7843,9442
"spr0005",2076,2004,1870,2267,2290,2367,1713,2202
"spr0006",10442,11059,10059,13452,12399,14097,8657,11991
"spr0007",1763,1914,1686,2141,1934,2158,1431,1929
"spr0008",2989,3264,2769,3683,2993,3753,2404,3598
"spr0009",11162,13318,10730,14710,12628,15531,9606,13152
"spr0010",8255,10582,8586,12834,10139,12899,7018,10723
"spr0011",12484,15178,11493,16664,15508,16895,10417,13398
"spr0012",85120,104105,87714,111225,92020,111125,73921,96917
"spr0013",1217,1277,1018,837,1279,1201,949,885
"spr0014",6101,5789,5653,3833,6976,4963,4487,3089
"spr0015",0,0,0,0,1,1,2,1
"spr0016",5646,2895,5766,2602,7353,2986,4330,2158
"spr0017",2,2,7,3,7,6,5,0
"spr0018",1,3,1,2,6,1,4,0
"spr0019",5,3,7,1,11,2,11,4
"spr0020",5250,2943,5084,2291,5642,2813,4669,2124
"spr0021",54597,34364,56375,32144,63331,36867,50700,31471
"spr0022",271,85,296,68,316,78,197,50
"spr0023",2801,1429,2265,1086,2716,1392,1782,942
"spr0024",5826,2767,4980,2218,6006,2546,4458,1847
"spr0025",18882,10014,17082,7073,18910,8514,15645,5978
"spr0026",12625,5850,12722,4165,12965,5138,12491,3417
"spr0027",9952,4693,11713,3641,11911,4614,11505,2867
"spr0028",17852,9533,17207,8268,18914,11509,15745,7614
"spr0029",464,213,437,122,562,215,387,80
"spr0030",7088,3554,6176,1789,8000,2878,5793,1332
"spr0031",8315,4543,7594,2235,10565,3627,7449,1612
"spr0032",32775,12853,35517,11668,34779,13013,31752,10205
"spr0033",6116,2124,4189,1744,5130,1744,3156,1624
"spr0034",67815,30100,65354,22970,61680,26404,53424,19287
"spr0035",9413,6147,9724,6361,9862,6333,8448,5862
"spr0036",5072,4207,5399,4136,5587,4398,4856,3764
"spr0037",10439,8369,10723,7765,9641,8402,8833,7932
"spr0038",1090,962,1125,907,1159,1101,955,790
"spr0039",1925,1818,2026,1748,2044,1924,1678,1620
"spr0040",2178,3241,3191,2488,2255,2716,2585,2605
"spr0041",53,14,49,25,47,25,42,24
"spr0042",95,52,79,48,91,44,55,44
"spr0043",76478,26367,74147,16021,71855,19937,60349,13954
"spr0044",48034,18224,46671,11313,44136,14563,36138,9718
"spr0045",478,1112,517,197,729,2288,681,181
"spr0046",3273,31336,3232,5249,3532,51862,3859,3509
"spr0047",1470,21665,1571,3437,1183,32998,1096,2171
"spr0048",1026,15711,960,2281,722,21994,648,1447
"spr0049",485,7949,454,1256,328,11299,352,742
"spr0050",257,4444,256,603,234,5997,186,330
"spr0051",2804,38450,2754,5645,2168,48786,2095,3307
"spr0052",1722,5698,1849,2319,2370,8732,2406,2333
"spr0053",640,3020,644,1096,688,4281,760,1140
"spr0054",1219,9889,1269,3619,1377,14098,1300,3074
"spr0055",3186,4673,2867,2689,3305,5284,2996,2465
"spr0056",16251,33372,17077,18907,17092,41245,14623,15551
"spr0057",3236,1592,3159,1859,3215,1685,2922,1685
"spr0058",47693,35756,49448,41892,50174,37075,47256,39802
"spr0059",3617,6498,1694,4884,3170,5604,810,2668
"spr0060",639,1087,313,686,556,755,158,419
"spr0061",875,1341,463,854,810,1086,315,538
"spr0062",826,1127,505,710,807,916,471,534
"spr0063",379,435,257,283,360,371,208,218
"spr0064",1020,941,839,735,1091,809,734,603
"spr0065",727,471,566,403,650,476,485,371
"spr0066",158,97,711,449,135,152,1258,545
"spr0067",460,244,598,413,543,222,855,361
"spr0068",12481,4927,13686,6203,12399,4631,13602,5668
"spr0069",907,445,1203,610,1133,384,1114,460
"spr0070",32846,21352,37803,23301,32786,17721,33773,19684
"spr0071",23449,15093,26086,17030,23313,13280,23025,14474
"spr0072",5791,2246,5788,2482,5526,1983,4637,2152
"spr0073",9,3,7,6,6,4,10,3
"spr0074",4357,1706,4037,1784,4032,1483,3394,1609
"spr0075",2332,1121,2430,1119,2544,929,1765,919
"spr0076",5911,2955,5590,3091,5708,2544,4995,2387
"spr0077",8867,4170,8280,4741,8176,3819,7254,3711
"spr0078",70640,39442,63943,44024,76156,51384,58861,42236
"spr0079",211,201,280,237,298,199,238,231
"spr0080",1647,1203,2153,1643,1971,1314,1943,1342
"spr0081",321,956,196,733,444,931,82,567
"spr0082",376,1000,186,793,505,865,82,527
"spr0083",247,679,186,574,346,590,90,370
"spr0084",21731,11407,25739,10017,28074,13967,35659,10704
"spr0085",3986,2766,1889,1937,3334,1924,1294,1108
"spr0086",9399,8435,9406,7355,10126,7241,7338,6065
"spr0087",5618,5267,5690,4089,6187,4348,4451,3404
"spr0088",2383,2294,2418,1583,2100,1687,1860,1355
"spr0089",709,700,743,538,767,566,624,384
"spr0090",6634,1461,6049,1732,6151,1235,4989,1595
"spr0091",9403,4407,10114,4342,11717,3689,8860,2887
"spr0092",34164,15713,36195,18036,38685,15375,31675,14943
"spr0093",6918,6478,7081,7375,6157,6452,6417,6493
"spr0094",5884,5363,5996,6150,5505,5269,5568,5381
"spr0095",4531,3949,4393,4404,4297,3621,4139,3792
"spr0096",10498,9266,15894,17789,19602,12690,16419,17235
"spr0097",202,109,256,141,176,82,191,117
"spr0098",2806,1653,3287,2180,2903,1397,3008,1828
"spr0099",8067,4130,9261,4838,8703,3815,7308,3891
"spr0100",3233,1837,3823,2044,3312,1735,3000,1836
"spr0101",409,67,325,108,312,81,200,87
"spr0102",1168,172,1070,241,898,137,693,241
"spr0103",2139,350,2059,509,1629,303,1342,413
"spr0104",718,284,679,426,758,264,623,317
"spr0105",21,10,27,12,22,9,26,9
"spr0106",114,40,202,105,131,47,163,72
"spr0107",10,7,15,6,7,7,25,10
"spr0108",80,29,132,53,109,31,118,33
"spr0109",91,31,118,47,82,35,120,49
"spr0110",113,38,107,64,93,50,92,41
"spr0111",1237,861,1134,871,1062,680,1033,794
"spr0112",137,83,96,91,121,73,125,57
"spr0113",2043,1262,2142,1382,2132,1162,1745,1116
"spr0114",1513,1004,1628,991,1550,963,1302,711
"spr0115",577,466,793,440,598,345,538,334
"spr0116",34,29,53,50,87,27,49,25
"spr0117",934,763,1207,823,1076,760,896,598
"spr0118",340,283,429,301,364,209,352,285
"spr0119",405,338,488,380,426,325,464,246
"spr0120",107,66,111,75,125,48,91,56
"spr0121",21542,12681,20827,12774,23083,13786,20193,12829
