"gene_id","Input.1","Input.2","Input.3","X5.Hr.1","X5.Hr.2","X5.Hr.3","X24.Hr.1","X24.Hr.2","X24.Hr.3"
"dnaA",5640,5096,4812,111,182,98,10,14,21
"dnaN",6111,9577,13130,148,238,84,19,19,20
"SPY49_RS00015",455,1031,969,3,2,2,0,0,1
"ychF",7313,13641,16755,83,142,69,11,14,18
"SPY49_RS00025",619,657,599,11,14,4,0,0,4
"mfd",2961,4117,3855,78,116,25,10,12,10
"SPY49_RS00035",805,1335,949,13,21,5,1,3,0
"SPY49_RS00040",1166,1669,1215,8,21,6,1,1,1
"SPY49_RS00045",3596,6654,6238,54,84,34,5,6,9
"tilS",2508,6029,3945,41,49,16,1,1,3
"hpt",9205,13755,9695,81,150,47,7,2,14
"ftsH",40068,40121,34511,558,990,418,69,70,92
"SPY49_RS00065",5342,10725,11162,63,123,44,6,2,12
"SPY49_RS00070",77789,22234,8436,1147,2997,1586,105,245,371
"SPY49_RS00075",0,0,0,1,0,1,0,0,0
"SPY49_RS00080",0,22,35,0,4266,21,0,0,45
"rrf_1",1180,750,636,0,0,0,1,1,0
"SPY49_RS00090",174,114,99,0,3,0,0,0,0
"SPY49_RS00095",200,273,353,0,1,1,1,0,0
"SPY49_RS00100",160,225,220,0,1,2,0,0,0
"SPY49_RS00105",409,256,268,2,6,2,0,0,1
"SPY49_RS00110",77,104,142,1,3,3,0,0,0
"SPY49_RS00115",0,198,179,1,0,0,0,0,0
"SPY49_RS00120",469,1184,906,6,16,3,0,0,2
"SPY49_RS00125",95,181,120,1,4,1,0,0,0
"SPY49_RS00130",797,666,488,2,21,6,1,0,3
"SPY49_RS00135",131156,23873,10339,1077,9,1660,476,31,157
"SPY49_RS00140",64,40,26,0,0,0,0,0,0
"SPY49_RS00145",67,22,0,50,234,21,43,0,9
"rrf_2",1163,795,657,17,8,4,0,1,0
"SPY49_RS00155",190,103,98,1,4,1,0,0,0
"SPY49_RS00160",231,317,336,0,0,1,0,0,0
"SPY49_RS00165",129,185,208,0,0,3,0,0,0
"SPY49_RS00170",415,276,232,4,10,7,0,0,0
"SPY49_RS00175",69,107,160,0,4,1,0,0,1
"SPY49_RS00180",185,185,207,1,0,2,0,0,0
"SPY49_RS00185",684,1080,1161,3,0,2,0,2,3
"SPY49_RS00190",98,133,110,1,0,0,0,0,0
"SPY49_RS00195",884,830,645,2,0,0,1,1,0
"SPY49_RS00200",576,611,500,1,2,1,0,0,2
"SPY49_RS00205",168,207,196,1,0,4,0,0,0
"SPY49_RS00210",396,631,601,2,6,3,2,0,1
"SPY49_RS00215",122,356,258,0,1,3,0,0,0
"SPY49_RS00220",47,68,81,0,0,4,0,0,0
"SPY49_RS00225",94,110,111,0,1,1,1,0,0
"SPY49_RS00230",22,37,30,0,3,0,0,0,1
"SPY49_RS00235",125,243,187,1,1,2,0,0,0
"SPY49_RS00240",61005,47233,28712,1410,3193,1137,211,176,151
"SPY49_RS00245",11978,26350,20011,114,180,56,16,15,27
"recO",1376,2990,2682,20,19,8,2,0,1
"plsX",6495,9243,12722,60,92,69,9,9,17
"SPY49_RS00260",571,1067,1069,4,5,2,1,0,2
"SPY49_RS00265",2627,640,481,18,34,8,10,7,6
"SPY49_RS00270",8934,3582,2969,78,347,83,53,18,33
"SPY49_RS00275",5049,1902,1695,62,209,56,32,14,23
"SPY49_RS00280",3427,1288,1127,20,117,24,17,1,19
"purN",1679,476,524,21,42,13,6,10,3
"purH",6491,2925,2354,49,260,54,41,20,20
"SPY49_RS00295",41,27,16,6,14,0,1,0,0
"purD",2068,197,206,9,90,23,14,3,3
"purE",540,82,90,3,21,11,5,2,0
"purK",1493,282,266,14,95,24,14,12,8
"SPY49_RS00315",3260,2161,1127,45,96,33,22,5,13
"purB",4571,4613,3948,59,156,43,17,17,13
"rgg4",350,368,208,2,11,1,0,0,0
"SPY49_RS09655",10,3,1,0,0,0,0,0,0
"ruvB",11075,6359,4328,216,280,117,15,19,31
"SPY49_RS00335",3585,4355,4761,63,88,23,3,3,12
"SPY49_RS00340",4442,3315,4016,61,130,40,3,12,12
"SPY49_RS00345",11212,14946,16663,231,385,149,23,21,34
"adhE",40193,13682,11392,48,108,16,13,5,18
"adhP",15555,2063,1169,102,134,28,10,13,19
"SPY49_RS00360",1705,967,691,31,75,27,2,0,1
"rpsJ",12049,6896,5828,115,251,111,23,12,30
"rplC",32431,9277,7818,368,757,317,76,72,105
"rplD",22130,4392,3866,254,529,219,35,49,55
"SPY49_RS00380",10479,2821,2334,100,239,116,26,21,32
"rplB",42384,6990,6711,401,1070,404,85,61,97
