"gene_id","Spn.wt..1.","Spn.wt..2.","Spn.wt..3.","Spn.delta.lctO.delta.spxB..1.","Spn.delta.lctO.delta.spxB..2.","Spn.delta.lctO.delta.spxB..3.","Spn.delta.lctO..1.","Spn.delta.lctO..2.","Spn.delta.spxB..1.","Spn.delta.spxB..2."
"accB",4485,3025,12660,1641,1794,1679,9709,9377,7443,4629
"accC",12602,9078,42661,5217,5453,5380,27291,26170,22038,14847
"accD",7006,5891,27282,3460,3896,3396,18217,18231,15548,9567
"acpS",898,513,497,485,420,458,773,856,1172,750
"adcA",2318,2562,2771,3749,3946,3461,3714,4061,9575,6720
"adcAII",632,661,1083,553,687,564,1384,1531,1139,749
"adcR",374,295,318,406,358,394,572,578,733,557
"addA",5055,5922,6214,8314,6714,7109,7993,9538,12433,8415
"adhE",17999,11389,6445,4036,3650,3624,4287,5575,19770,14760
"adhP",24860,7171,4382,2241,1418,1738,2697,3225,11466,8714
"aguA",1905,1256,1223,1001,908,976,2035,2001,2433,1779
"aguB",1466,1089,1249,933,850,720,1770,1604,2066,1469
"alaS",9641,12061,12936,21490,19870,20787,19325,22838,37134,24848
"alr",3967,2509,2627,2528,2298,2612,4429,4875,6230,4274
"amaP",3442,3621,4456,3461,2627,2869,5957,5905,30830,27574
"arcC",2283,1501,1053,1104,841,823,1109,1155,6034,4537
"argF",10948,5484,3675,4750,3354,3735,5522,5967,17907,13041
"argH",398,368,376,342,340,358,403,535,595,437
"argR",826,803,1011,1351,1499,1157,1022,1114,1281,1030
"argS",9231,8301,7483,6347,5504,6150,8522,9170,5168,3317
"aroA",5205,3674,3162,4299,3811,3950,4848,5307,5464,3763
"aroB",4286,2538,2352,3481,2377,2829,3901,4528,5013,3326
"aroC",7085,4505,3789,5674,4156,4587,6023,6615,8044,5162
"aroD",3153,2489,2574,2449,2123,2193,2892,3270,3486,2321
"asnA",12547,11823,10046,10231,10357,11076,10569,11841,9155,6004
"asnS",6012,6005,6648,8848,8498,8744,9490,10680,15065,10336
"aspS",16063,12322,9899,11981,10333,11384,11755,13239,15631,10675
"atpA",48355,51917,57989,65074,62583,62316,55269,64780,74403,49542
"atpB",22835,24585,28710,29816,30019,28850,28264,31225,23855,16363
"atpD",47066,53469,59826,67250,64087,62980,56090,66268,105948,70791
"atpF",14670,15287,19354,17287,19193,16587,15366,17565,16612,11963
"bgaA",6234,4316,4433,7783,6222,6176,3426,4477,40205,30702
"bglA",866,584,478,2852,2795,2793,3823,4080,706,483
"birA",877,470,411,256,261,232,235,232,742,526
"blpC",595,395,315,276,213,207,291,270,457,287
"blpU",1392,1233,727,466,357,376,559,677,1302,1119
"briC",159,118,364,143,137,117,903,750,96,108
"brnQ",11536,12154,15609,2625,2953,3095,14617,14317,3154,2137
"budA",3303,2033,1791,1927,1584,1715,2257,2426,3301,2252
"carB",5116,13435,24503,245553,226128,241011,231166,269582,12560,8841
"cbpA",10068,8614,9304,6776,7109,6552,10215,9556,15957,12105
"cbpC",2492,2491,2718,4224,4098,3923,2973,3181,4190,3244
"cbpD",113,134,150,440,640,503,1148,995,204,144
"cbpE",5307,5285,5621,5531,5063,4942,3351,4030,10935,8506
"ccdA2",7689,4680,3894,1828,1572,1766,3185,3425,8624,6019
"ccpA",15980,6039,4558,9644,5859,7280,8299,8664,9568,7312
"cdaA",9036,5205,4700,4974,4202,4690,8421,8683,6075,4075
"celB",344,219,157,209,193,200,94,82,216,182
