"gene_id","Wt_SM_Rep1","Wt_SM_Rep2","RA_SM_Rep1","RA_SM_Rep2","Wt_S_Rep1","Wt_S_Rep2","RA_S_Rep1","RA_S_Rep2","Wt_S_NOV_Rep1","Wt_SM_NOV_Rep1","RA_S_NOV_Rep1","RA_SM_NOV_Rep1","Wt_S_NOV_Rep2","Wt_SM_NOV_Rep2","RA_S_NOV_Rep2","RA_SM_NOV_Rep2"
"spr0001",11481,11286,5783,6387,32282,14199,18601,13931,86523,24591,84946,34898,75656,28278,63415,26258
"spr0002",10159,9337,5114,6135,25793,10767,16209,12743,67515,22659,67410,31002,63134,25597,49273,23926
"spr0003",1012,879,506,539,2410,1385,1350,776,3764,1308,4113,2051,3592,1571,2984,1549
"spr0004",17739,17783,9171,9905,27856,14661,16512,11175,55222,45389,65327,57827,82916,46827,44397,48021
"spr0005",4054,3976,2154,2363,8396,4156,4580,2978,12304,10726,14065,13179,21357,11595,11840,12170
"spr0006",25225,23955,13635,15341,45192,18455,27690,19294,87979,78290,108062,101063,147482,90008,89156,88649
"spr0007",2577,2526,1117,1298,6983,3166,3524,2526,11377,7138,12649,9428,16377,8095,10013,7953
"spr0008",4533,4307,2091,2279,16438,7984,6896,4543,20153,11662,24337,16097,29569,13088,17911,13404
"spr0009",16403,16047,7795,8153,44219,20084,27374,17955,86788,51833,107069,71228,133074,58590,81883,59062
"spr0010",13413,13156,6369,6602,34549,14834,20953,13376,63598,39922,79446,54007,98214,45251,62130,45709
"spr0011",15930,15985,6862,6650,40123,21118,29545,19119,58756,38263,76471,48428,85804,38671,52984,40749
"spr0012",94976,95712,47252,47382,177242,92940,128330,93943,333690,216464,369848,270294,425468,225825,257489,216578
"spr0013",4833,3096,1705,2774,5627,1619,4444,2859,2508,10242,2875,10314,4287,8753,1723,7277
"spr0014",11073,11849,6014,7160,17511,6253,8452,6441,5130,4991,4613,6141,3765,4946,2674,4494
"spr0015",0,0,0,0,0,0,2,4,0,1,0,3,0,0,1,0
"spr0016",10309,10325,5789,6929,20035,7077,12329,7721,5871,3731,6602,5877,4355,4075,3969,3989
"spr0017",13,27,7,20,19,2,11,6,9,6,8,5,4,7,2,10
"spr0018",5,4,11,9,8,1,6,2,1,0,7,2,0,2,2,2
"spr0019",13,19,9,14,23,10,9,5,4,3,9,8,1,6,2,5
"spr0020",7881,6263,2763,3673,14464,2890,11568,7260,1471,2697,1930,3907,1964,2273,1026,2718
"spr0021",52632,49489,26662,32255,78721,28095,91554,61725,16561,29351,19755,35410,24248,24985,11576,25113
"spr0022",774,787,502,551,1210,488,693,468,246,167,301,240,149,233,134,132
"spr0023",4151,4760,2238,2361,7292,2749,3593,2531,3130,1702,2802,2219,2048,1611,1319,1597
