"gene_id","Raw Counts GAL Replicate 1","Raw Counts GAL Replicate 2","Raw Counts GAL Replicate 3","Raw Counts GAL+15 Replicate 1","Raw Counts GAL+15 Replicate 2","Raw Counts GAL+15 Replicate 3","Raw Counts GAL+30 Replicate 1","Raw Counts GAL+30 Replicate 2","Raw Counts GAL+30 Replicate 3","Raw Counts MAN Replicate 1","Raw Counts MAN Replicate 2","Raw Counts MAN Replicate 3"
"SPD_0001",958,1008,1110,786,802,794,858,665,845,1046,1008,1175
"SPD_0002",500,425,507,379,441,434,508,359,472,569,611,671
"SPD_0003",15,29,23,37,28,30,39,44,54,50,33,47
"SPD_0004",432,405,520,351,266,316,259,250,323,322,274,332
"SPD_0005",181,160,197,187,164,193,154,139,170,232,234,238
"SPD_0006",791,743,977,700,522,624,542,450,568,947,869,865
"SPD_0007",127,137,193,89,82,99,87,77,100,79,113,110
"SPD_0008",311,289,339,182,191,185,156,142,161,217,207,254
"SPD_0009",123,104,119,56,61,71,65,53,70,86,96,108
"SPD_0010",908,755,972,617,589,690,533,498,605,938,906,984
"SPD_0011",771,655,870,559,477,587,464,436,577,619,639,656
"SPD_0012",1386,1349,1643,1373,1155,1387,1000,921,1144,620,599,740
"SPD_0013",4784,4811,5558,4383,3976,4779,2955,2897,3734,1916,1928,2425
"SPD_0014",12,16,18,60,23,28,11,26,35,48,11,17
"SPD_0015",14,8,12,3,5,3,2,2,5,4,1,0
"SPD_0016",68,80,220,124,115,56,98,91,83,172,143,99
"SPD_0017",3,2,1,5,1,1,1,2,1,2,0,1
"SPD_0018",433,374,1157,549,778,395,714,556,487,659,565,434
"SPD_0019",106,130,117,92,120,87,139,156,227,69,66,111
"SPD_0020",2,2,1,4,3,3,0,3,1,3,0,3
"SPD_0023",14,11,15,29,10,12,9,7,20,27,12,13
"SPD_0024",1621,1288,1210,810,712,677,836,676,894,642,614,797
"predicted RNA",73,103,88,62,79,87,41,71,118,27,26,46
"SPD_0025",34,24,27,44,35,37,23,29,53,62,27,31
"SPD_0026",1,2,4,7,2,3,0,1,10,6,2,0
"SPD_0027",93,100,113,133,88,107,70,76,116,97,87,101
"SPD_0028",148,158,156,181,122,142,121,112,161,166,141,149
"SPD_0029",308,290,342,288,252,257,201,177,253,303,261,268
"SPD_0030",665,535,540,408,473,470,289,212,349,204,204,217
"SPD_0031",335,263,306,200,188,214,131,112,169,99,102,93
"SPD_0032",16,19,21,15,9,10,5,4,14,4,2,5
"SPD_0033",839,760,916,894,785,867,1089,815,947,955,861,891
"SPD_0035",7,13,8,20,9,9,6,14,9,15,8,14
"SPD_0036",14,12,12,16,7,7,7,14,15,20,11,15
"SPD_0037",33,21,35,49,38,37,40,18,34,55,30,23
"SPD_0038",2667,3003,3190,2635,2731,3056,2426,2158,2906,2254,2356,2633
"SPD_0039",66,102,94,100,97,132,146,148,192,180,181,180
"SPD_0040",844,798,816,953,963,963,790,662,867,912,927,962
"SPD_0041",380,309,361,558,603,626,578,517,652,606,567,596
"SPD_0042",255,229,255,350,358,351,352,251,371,353,351,340
"SPD_0043",441,393,452,603,596,567,611,477,624,612,609,559
"SPD_0044",144,137,129,174,148,186,144,124,149,122,115,141
"SPD_0046",44,38,37,59,42,45,56,46,64,52,45,65
"SPD_0047",48,21,27,40,48,40,43,34,39,39,44,33
"SPD_0049",123,146,149,228,171,165,103,137,210,239,107,104
"SPD_0050",78,115,113,190,103,108,80,96,143,177,94,77
"SPD_0051",62,90,77,105,43,58,35,47,59,92,32,30
"SPD_0052",231,325,328,266,148,148,117,136,209,228,102,109
"SPD_0053",58,119,120,104,61,53,45,58,75,86,43,45
"SPD_0054",67,86,95,98,93,65,38,51,101,71,30,49
"SPD_0055",33,36,49,46,32,36,24,11,49,39,23,26
"SPD_0056",15,14,19,33,23,21,22,14,24,20,14,18
"SPD_0057",79,77,98,129,105,97,71,81,114,98,72,64
"SPD_0058",181,208,168,166,159,134,180,139,186,130,83,95
"SPD_0059",53,61,72,70,63,43,70,57,76,48,33,37
"SPD_0060",154,182,176,183,152,157,185,150,201,126,97,140
"SPD_0061",256,276,308,432,469,454,367,328,405,200,210,219
"SPD_0062",636,721,678,1128,1164,1198,1213,989,1379,940,927,1012
"SPD_0063",2774,2531,1164,605,393,295,1536,1486,2397,2381,2174,2510
"SPD_0064",1469,1388,1527,1361,1191,1266,1198,1040,1330,1266,1329,1614
"predicted RNA",45,64,77,56,69,68,48,52,88,96,82,70
"SPD_0065",367,500,794,172,81,79,110,138,189,249,184,235
"SPD_0066",54,57,90,16,5,10,14,16,26,41,42,41
"SPD_0067",230,193,276,55,45,35,59,70,110,179,149,119
"SPD_0068",230,182,205,75,46,36,50,63,100,130,123,104
"SPD_0069",163,142,167,39,31,22,36,38,60,83,83,79
