"gene_id","Sal-marker2-LE-rep-2_S6_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-3_S7_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-4_S8_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-1_S13_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-2_S14_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-3_S15_R1_001 (GE) - Total counts","Sal-sip-LE-rep-1_S9_R1_001 (GE) - Total counts","Sal-sip-LE-rep-2_S10_R1_001 (GE) - Total counts","Sal-sip-LE-rep-3_S11_R1_001 (GE) - Total counts"
"RSSL_02228",3362,3358,3799,4341,3914,4462,3929,3536,2908
"RSSL_00837",4479,3618,4477,5652,4932,5662,4738,4394,3448
"RSSL_00836",262,274,324,364,341,388,348,307,274
"RSSL_00835",3128,2907,2988,3610,3452,3750,3161,2852,2379
"RSSL_00834",395,311,344,417,386,432,370,326,254
"RSSL_00833",2515,2170,2297,2934,2704,3081,2370,2166,1874
"RSSL_00832",1829,1906,2066,3117,2602,2818,2170,1941,1522
"RSSL_00831",1374,1342,1573,1995,1771,1984,1571,1346,1121
"RSSL_00830",200,185,210,269,300,280,245,212,175
"RSSL_00829",2393,2307,2694,3757,3162,3669,2637,2340,1936
"RSSL_00828",1037,1069,1297,1662,1297,1643,1222,1215,947
"RSSL_00827",1957,2073,2104,2528,2243,2458,2205,1851,1638
"RSSL_00826",8460,8190,8847,10603,9878,10998,9082,8050,6709
"RSSL_00308",3482,3627,2821,3776,3554,4012,3225,2771,2395
"RSSL_00307",592,652,462,619,591,674,573,428,434
"RSSL_00306",8382,8314,7291,8860,8002,9372,7723,6837,5777
"RSSL_00305",2069,2135,2188,2413,2347,2643,2262,1942,1825
"RSSL_00304",3754,3593,4279,4614,4219,4854,4329,3936,3356
"RSSL_00303",1282,1100,1442,1427,1350,1538,1393,1216,1100
"RSSL_00302",1465,1440,1533,1767,1562,1807,1591,1380,1083
"RSSL_00301",693,667,605,738,696,778,697,631,514
"RSSL_00300",320,341,602,474,401,503,484,459,372
"RSSL_00299",629,590,1162,958,917,1061,892,879,639
"RSSL_00298",307,265,491,413,368,443,359,359,267
"RSSL_00297",174,157,273,265,252,278,185,212,183
"RSSL_00296",104,85,152,142,143,136,120,135,103
"RSSL_00295",324,292,510,554,470,570,390,398,291
"RSSL_00294",270,252,423,386,372,406,326,299,221
"RSSL_02229",1,1,0,1,0,0,2,0,1
"RSSL_00293",44,38,26,69,51,49,46,46,39
"RSSL_00292",429,435,400,435,404,482,448,474,333
"RSSL_00291",382,331,352,407,397,430,354,372,329
"RSSL_00290",318,346,494,455,430,461,486,428,333
"RSSL_00289",137,115,207,229,199,205,185,193,116
"RSSL_00288",330,261,474,548,462,487,449,425,351
"RSSL_00287",2575,2637,4224,6374,5074,5446,3718,3484,2853
"RSSL_00286",1818,1767,2956,4334,3542,3912,2475,2376,2043
"RSSL_00285",1776,1537,2362,3202,2833,3127,2096,1944,1602
"RSSL_00284",4,2,2,3,2,2,1,4,1
"RSSL_00283",2782,2499,2507,3075,2966,3422,2747,2493,1981
"RSSL_00282",709,721,680,757,727,805,775,627,576
"RSSL_00281",847,683,647,873,849,936,717,683,530
"RSSL_00280",2165,1784,1782,2293,2170,2508,1919,1603,1424
"RSSL_00279",73,42,51,71,73,88,68,59,58
"RSSL_00278",74,57,68,89,75,99,63,76,67
"RSSL_00277",249,270,286,357,290,354,300,259,225
"RSSL_00276",1470,1407,1695,1919,1755,2063,1730,1504,1337
"RSSL_00275",225,281,243,314,268,299,288,221,216
"RSSL_02230",865,762,973,1183,1024,1196,955,757,765
"RSSL_00542",606,571,601,737,665,742,632,551,431
"RSSL_00541",468,422,403,502,519,546,447,390,317
"RSSL_00540",6071,5676,6326,7773,6954,7740,5930,5163,4364
"RSSL_00539",10777,10217,11380,14545,13068,14669,10552,9215,8260
"RSSL_00538",5747,7568,8060,11634,8646,9543,7678,6032,5712
"RSSL_01922",19183,16639,14641,21480,20550,23030,16742,14003,12444
"RSSL_01921",3001,2840,3567,3952,3438,3898,3659,3272,2677
"RSSL_01920",353,285,377,460,429,463,405,330,320
"RSSL_01919",776,776,784,836,804,878,881,831,637
"RSSL_01918",81,88,84,111,92,90,83,82,71
"RSSL_01917",98,74,61,82,86,76,77,60,61
